        4629           2          20
Tue Oct 25 03:38:30 2005
nirspec_drtau_glue.dat

Full Nirspec spectrum of drtau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
drtau_coice_dec02.dat 2 0.400000 0.958951
drtau_coice+_dec02.dat 2 0.600000 0.958951
drtau_cop_dec02.dat 3 0.400000 1.26488
drtau_cop+_dec02.dat 3 0.600000 1.23907

     Wavelength     Flux
         um          Jy
 
  4.6711497E+00  1.3539089E+00
  4.6712432E+00  1.3716513E+00
  4.6713367E+00  1.4346223E+00
  4.6714301E+00  1.5133486E+00
  4.6715236E+00  1.5460639E+00
  4.6716170E+00  1.4930197E+00
  4.6717105E+00  1.4442251E+00
  4.6718040E+00  1.4108995E+00
  4.6718974E+00  1.3809798E+00
  4.6719909E+00  1.3856883E+00
  4.6720843E+00  1.4006071E+00
  4.6721778E+00  1.4091969E+00
  4.6722713E+00  1.4218329E+00
  4.6723647E+00  1.4334193E+00
  4.6724582E+00  1.4138731E+00
  4.6725512E+00  1.4176733E+00
  4.6726446E+00  1.4374437E+00
  4.6727381E+00  1.4419491E+00
  4.6728315E+00  1.4634694E+00
  4.6729250E+00  1.4622254E+00
  4.6730185E+00  1.4577730E+00
  4.6731119E+00  1.4666897E+00
  4.6732054E+00  1.4520400E+00
  4.6732988E+00  1.4480152E+00
  4.6733923E+00  1.4505304E+00
  4.6734858E+00  1.4561924E+00
  4.6735792E+00  1.4371011E+00
  4.6736732E+00  1.4079548E+00
  4.6737666E+00  1.4095671E+00
  4.6738601E+00  1.4140553E+00
  4.6739535E+00  1.4248959E+00
  4.6740470E+00           -NaN
  4.6741405E+00           -NaN
  4.6742339E+00           -NaN
  4.6743274E+00  1.8526648E+00
  4.6744208E+00  2.0517347E+00
  4.6745143E+00  2.2716200E+00
  4.6746078E+00  2.2727458E+00
  4.6747012E+00  2.0226610E+00
  4.6747947E+00  1.7432187E+00
  4.6748881E+00  1.5792217E+00
  4.6749816E+00  1.4873399E+00
  4.6750751E+00  1.4066632E+00
  4.6751685E+00  1.3587818E+00
  4.6752625E+00  1.3734654E+00
  4.6753559E+00  1.3981135E+00
  4.6754494E+00  1.4439633E+00
  4.6755428E+00  1.5363271E+00
  4.6756363E+00  1.6225529E+00
  4.6757298E+00  1.6325947E+00
  4.6758232E+00  1.5572224E+00
  4.6759167E+00  1.4640275E+00
  4.6760101E+00  1.4085129E+00
  4.6761041E+00  1.3743691E+00
  4.6761975E+00  1.3523335E+00
  4.6762910E+00  1.3291975E+00
  4.6763844E+00  1.3230940E+00
  4.6764779E+00  1.3153055E+00
  4.6765714E+00  1.3025519E+00
  4.6766648E+00  1.2947059E+00
  4.6767588E+00  1.2878752E+00
  4.6768522E+00  1.3049080E+00
  4.6769457E+00  1.3154626E+00
  4.6770391E+00  1.3156849E+00
  4.6771326E+00  1.3044018E+00
  4.6772261E+00  1.2969173E+00
  4.6773200E+00  1.3064188E+00
  4.6774135E+00  1.3087574E+00
