        4635           2          20
Tue Dec 16 18:49:09 2008
nirspec_fztau_glue.dat

Full Nirspec spectrum of fztau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
fztau_coice_dec08.dat 1 0.700000 1.00785
fztau_coice+_dec08.dat 1 0.700000 1.04816
fztau_cop_dec08.dat 2 0.700000 0.993951
fztau_cop+_dec08.dat 2 0.700000 1.01383

     Wavelength     Flux
         um          Jy
 
  4.7031689E+00  1.2816064E+00
  4.7032633E+00  1.3493950E+00
  4.7033572E+00  1.3321781E+00
  4.7034512E+00  1.2559197E+00
  4.7035456E+00  1.2644848E+00
  4.7036395E+00  1.2926122E+00
  4.7037334E+00  1.2747865E+00
  4.7038274E+00  1.2397038E+00
  4.7039218E+00  1.2494727E+00
  4.7040157E+00  1.2520669E+00
  4.7041097E+00  1.2570978E+00
  4.7042041E+00  1.2819051E+00
  4.7042980E+00  1.2965724E+00
  4.7043920E+00  1.2757870E+00
  4.7044864E+00  1.2460974E+00
  4.7045803E+00  1.2769976E+00
  4.7046742E+00  1.2588719E+00
  4.7047687E+00  1.1781446E+00
  4.7048626E+00  1.1620454E+00
  4.7049565E+00  1.2304112E+00
  4.7050509E+00  1.3000169E+00
  4.7051449E+00  1.3029852E+00
  4.7052388E+00  1.2765901E+00
  4.7053332E+00           -NaN
  4.7054272E+00           -NaN
  4.7055211E+00           -NaN
  4.7056155E+00           -NaN
  4.7057095E+00           -NaN
  4.7058034E+00           -NaN
  4.7058978E+00           -NaN
  4.7059917E+00           -NaN
  4.7060862E+00           -NaN
  4.7061801E+00           -NaN
  4.7062740E+00  1.1407691E+00
  4.7063684E+00  1.1937727E+00
  4.7064624E+00  1.2650070E+00
  4.7065568E+00  1.2816306E+00
  4.7066507E+00  1.2271708E+00
  4.7067447E+00  1.1858274E+00
  4.7068391E+00  1.2469256E+00
  4.7069330E+00  1.2750119E+00
  4.7070274E+00  1.2804214E+00
  4.7071214E+00  1.3193334E+00
  4.7072153E+00           -NaN
  4.7073097E+00           -NaN
  4.7074037E+00           -NaN
  4.7074981E+00           -NaN
  4.7075920E+00           -NaN
  4.7076864E+00  1.3911809E+00
  4.7077804E+00  1.3783727E+00
  4.7078748E+00  1.3595504E+00
  4.7079687E+00  1.3697313E+00
  4.7080626E+00  1.3954809E+00
  4.7081571E+00  1.3950236E+00
  4.7082510E+00  1.4119300E+00
  4.7083454E+00  1.4945068E+00
  4.7084394E+00           -NaN
  4.7085338E+00           -NaN
  4.7086277E+00           -NaN
  4.7087221E+00           -NaN
  4.7088161E+00           -NaN
  4.7089105E+00  2.2505813E+00
  4.7090044E+00  2.2564769E+00
  4.7090988E+00  2.0130212E+00
  4.7091928E+00  1.7535034E+00
  4.7092872E+00  1.6678925E+00
  4.7093811E+00  1.5763463E+00
  4.7094755E+00  1.4166374E+00
  4.7095695E+00  1.3275851E+00
  4.7096639E+00  1.3040544E+00
  4.7097583E+00  1.3030260E+00
  4.7098522E+00  1.3161205E+00
  4.7099466E+00           -NaN
  4.7100406E+00           -NaN
  4.7101350E+00  1.1953231E+00
  4.7102289E+00  1.1789925E+00
  4.7103233E+00  1.2141114E+00
  4.7104173E+00  1.2380506E+00
  4.7105117E+00  1.2789040E+00
  4.7106061E+00  1.3081484E+00
  4.7107000E+00  1.2959698E+00
  4.7107944E+00  1.3123515E+00
  4.7108884E+00  1.3554792E+00
  4.7109828E+00  1.3482219E+00
  4.7110772E+00  1.3775326E+00
  4.7111712E+00  1.3778807E+00
  4.7112656E+00  1.3332728E+00
  4.7113595E+00  1.2960020E+00
  4.7114539E+00  1.2872370E+00
  4.7115483E+00  1.3123029E+00
  4.7116423E+00  1.2735765E+00
  4.7117367E+00  1.2392156E+00
  4.7118306E+00  1.2698060E+00
  4.7119250E+00  1.2599673E+00
  4.7120194E+00  1.2302488E+00
  4.7121134E+00  1.2287810E+00
  4.7122078E+00  1.2755908E+00
  4.7123022E+00  1.3130150E+00
  4.7123961E+00  1.3405242E+00
  4.7124906E+00  1.3497163E+00
  4.7125850E+00           -NaN
  4.7126789E+00  1.2464921E+00
  4.7127733E+00  1.2430371E+00
  4.7128677E+00  1.2911320E+00
  4.7129617E+00  1.2514685E+00
  4.7130561E+00  1.2332006E+00
  4.7131505E+00  1.2825295E+00
  4.7132444E+00  1.2771423E+00
  4.7133389E+00  1.1994915E+00
  4.7134333E+00  1.2116001E+00
  4.7135272E+00  1.2675695E+00
  4.7136216E+00  1.2919133E+00
  4.7137160E+00  1.2957269E+00
  4.7138100E+00  1.3048019E+00
  4.7139044E+00           -NaN
  4.7139988E+00           -NaN
  4.7140932E+00           -NaN
  4.7141871E+00           -NaN
  4.7142816E+00  1.1937089E+00
  4.7143760E+00  1.1966318E+00
  4.7144699E+00  1.2410370E+00
  4.7145643E+00  1.2665435E+00
  4.7146587E+00  1.2502089E+00
  4.7147532E+00  1.2642559E+00
  4.7148471E+00  1.2758301E+00
  4.7149415E+00  1.2876440E+00
  4.7150359E+00  1.2951367E+00
  4.7151303E+00  1.3151599E+00
  4.7152247E+00  1.3338363E+00
  4.7153187E+00  1.3438658E+00
  4.7154131E+00  1.3129499E+00
  4.7155075E+00  1.2799534E+00
  4.7156019E+00  1.2969817E+00
  4.7156959E+00  1.3241320E+00
  4.7157903E+00  1.3477952E+00
  4.7158847E+00  1.3249426E+00
  4.7159791E+00  1.3386189E+00
  4.7160735E+00  1.3228803E+00
  4.7161674E+00  1.2973410E+00
  4.7162619E+00  1.2930382E+00
  4.7163563E+00  1.2931666E+00
  4.7164507E+00  1.2914177E+00
